"pangos","Freq","Hash","Lineage"
"A",0.314553990610329,"0b25d36d8c","NA.0b25d36d8c.X"
"A.1",0.0657276995305164,"0b25d36d8c","NA.0b25d36d8c.X"
"A.2",0.145539906103286,"0b25d36d8c","NA.0b25d36d8c.X"
"A.3",0.0938967136150235,"0b25d36d8c","NA.0b25d36d8c.X"
"A.5",0.00469483568075117,"0b25d36d8c","NA.0b25d36d8c.X"
"B",0.192488262910798,"0b25d36d8c","NA.0b25d36d8c.X"
"B.1.1.161",0.00938967136150235,"0b25d36d8c","NA.0b25d36d8c.X"
"B.3",0.00938967136150235,"0b25d36d8c","NA.0b25d36d8c.X"
"B.4",0.0563380281690141,"0b25d36d8c","NA.0b25d36d8c.X"
"B.40",0.0187793427230047,"0b25d36d8c","NA.0b25d36d8c.X"
"B.55",0.00469483568075117,"0b25d36d8c","NA.0b25d36d8c.X"
"B.6",0.0657276995305164,"0b25d36d8c","NA.0b25d36d8c.X"
"B.6.6",0.0187793427230047,"0b25d36d8c","NA.0b25d36d8c.X"
"AD.2",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1",0.30359355638166,"647e2abde0","NA.647e2abde0.X"
"B.1.1",0.188351920693928,"647e2abde0","NA.647e2abde0.X"
"B.1.1.10",0.00495662949194548,"647e2abde0","NA.647e2abde0.X"
"B.1.1.111",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.1.163",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.174",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.1.192",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.214",0.00867410161090459,"647e2abde0","NA.647e2abde0.X"
"B.1.1.216",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.1.243",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.25",0.0198265179677819,"647e2abde0","NA.647e2abde0.X"
"B.1.1.28",0.0223048327137546,"647e2abde0","NA.647e2abde0.X"
"B.1.1.284",0.00867410161090459,"647e2abde0","NA.647e2abde0.X"
"B.1.1.291",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.306",0.00619578686493185,"647e2abde0","NA.647e2abde0.X"
"B.1.1.307",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.1.317",0.00743494423791822,"647e2abde0","NA.647e2abde0.X"
"B.1.1.33",0.0495662949194548,"647e2abde0","NA.647e2abde0.X"
"B.1.1.348",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.354",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.1.359",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.37",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.1.39",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.1.434",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.1.44",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.485",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.1.487",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.507",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.1.57",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.1.63",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.110",0.00743494423791822,"647e2abde0","NA.647e2abde0.X"
"B.1.110.3",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.128",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.143",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.177",0.0359355638166047,"647e2abde0","NA.647e2abde0.X"
"B.1.177.4",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.177.44",0.00991325898389095,"647e2abde0","NA.647e2abde0.X"
"B.1.177.52",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.177.57",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.177.62",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.177.7",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.177.75",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.177.81",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.177.86",0.00867410161090459,"647e2abde0","NA.647e2abde0.X"
"B.1.2",0.023543990086741,"647e2abde0","NA.647e2abde0.X"
"B.1.210",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.22",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.221",0.0285006195786865,"647e2abde0","NA.647e2abde0.X"
"B.1.234",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.237",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.240",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.243",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.260",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.311",0.00743494423791822,"647e2abde0","NA.647e2abde0.X"
"B.1.319",0.00743494423791822,"647e2abde0","NA.647e2abde0.X"
"B.1.324",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.346",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.356",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.36",0.047087980173482,"647e2abde0","NA.647e2abde0.X"
"B.1.36.1",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.36.16",0.00495662949194548,"647e2abde0","NA.647e2abde0.X"
"B.1.36.18",0.00991325898389095,"647e2abde0","NA.647e2abde0.X"
"B.1.36.24",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.36.8",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.361",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.367",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.375",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.381",0.00495662949194548,"647e2abde0","NA.647e2abde0.X"
"B.1.396",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.398",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.409",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.416",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.426",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.462",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.466",0.00495662949194548,"647e2abde0","NA.647e2abde0.X"
"B.1.471",0.00619578686493185,"647e2abde0","NA.647e2abde0.X"
"B.1.497",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.499",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.509",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.533",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.558",0.00619578686493185,"647e2abde0","NA.647e2abde0.X"
"B.1.561",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.568",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.588",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.596",0.00247831474597274,"647e2abde0","NA.647e2abde0.X"
"B.1.596.1",0.00495662949194548,"647e2abde0","NA.647e2abde0.X"
"B.1.8",0.00371747211895911,"647e2abde0","NA.647e2abde0.X"
"B.1.9",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"B.1.91",0.00867410161090459,"647e2abde0","NA.647e2abde0.X"
"C.36",0.00123915737298637,"647e2abde0","NA.647e2abde0.X"
"N.3",0.00743494423791822,"647e2abde0","NA.647e2abde0.X"
"N.4",0.00495662949194548,"647e2abde0","NA.647e2abde0.X"
"B",1,"05fd4959cd","B"
"A",1,"510c0f121a","A"
"B.1",1,"653f85d21d","B.1"
"A.3",1,"c5b272293f","A.3"
"B.1.1",1,"752c647c7e","B.1.1"
"A.3",1,"9b51dd8c51","A.3"
"A.3",1,"e5ba97616c","A.3"
"A.3",1,"2bfc440feb","A.3"
"A.3",1,"3b04918f83","A.3"
"A.3",1,"bdcfe14f97","A.3"
"B.1.1",1,"742512d793","B.1.1"
"A.3",1,"c503a3d829","A.3"
"A.3",1,"e57d468e59","A.3"
"B.1.1",1,"5b647f5113","B.1.1"
"B.1",0.5,"15242acb15","B.1.X"
"B.1.1.101",0.5,"15242acb15","B.1.X"
"B.1",0.666666666666667,"0514845a5e","B.1.X"
"B.1.1.306",0.333333333333333,"0514845a5e","B.1.X"
"A.3",1,"df002bbfce","A.3"
"B.1.1",1,"6cfc982b38","B.1.1"
"B.1.1",1,"7d5b2da98f","B.1.1"
"B.1",1,"0e30538526","B.1"
"B.1.1",1,"31cc51eeae","B.1.1"
"A.3",1,"b17a0ea8cf","A.3"
"A.3",1,"618cf4e85d","A.3"
"B.1.1",1,"8b32dbea0d","B.1.1"
"B.1.1",1,"4e43786e89","B.1.1"
"B.1",1,"36da36d85f","B.1"
"A",0.5,"6725d1ae5f","NA.6725d1ae5f.X"
"B",0.5,"6725d1ae5f","NA.6725d1ae5f.X"
"B.1",0.333333333333333,"6bfcef8fec","B.1.X"
"B.1.1.306",0.333333333333333,"6bfcef8fec","B.1.X"
"B.1.2",0.333333333333333,"6bfcef8fec","B.1.X"
"C.33",0.0588235294117647,"1fce456340","C.X"
"C.36",0.941176470588235,"1fce456340","C.X"
"B.1.1",0.0151515151515152,"5cad481418","NA.5cad481418.X"
"B.1.1.1",0.666666666666667,"5cad481418","NA.5cad481418.X"
"C.14",0.212121212121212,"5cad481418","NA.5cad481418.X"
"C.26",0.0454545454545455,"5cad481418","NA.5cad481418.X"
"C.32",0.0303030303030303,"5cad481418","NA.5cad481418.X"
"C.4",0.0303030303030303,"5cad481418","NA.5cad481418.X"
"B.1.1",1,"0535a9fd78","B.1.1"
"B.1",0.0666666666666667,"37ae46f204","B.1.X"
"B.1.1.214",0.666666666666667,"37ae46f204","B.1.X"
"B.1.177",0.266666666666667,"37ae46f204","B.1.X"
"B.1.1",1,"654538d384","B.1.1"
"B.1",1,"e9b35d5a80","B.1"
"D.2",1,"c5c14086d3","D.2"
